no,item,attempts
1,apple,10
2,apple,10
3,apple,10
4,apple,11
5,apple,12
6,apple,10
7,apple,10
8,apple,15
9,apple,10
10,apple,10
11,apple,11
12,apple,12
13,apple,8
14,apple,9
15,apple,10
16,apple,7
17,apple,9
18,apple,7
19,apple,10
20,apple,18
21,apple,11
22,apple,8
23,apple,10
24,apple,10
25,apple,8
26,apple,8
27,apple,9
28,apple,12
29,apple,13
30,apple,13
31,apple,10
32,apple,9
33,apple,9
34,apple,7
35,apple,10
36,apple,11
37,apple,14
38,apple,10
39,apple,8
40,apple,9
41,apple,9
42,apple,10
43,apple,9
44,apple,7
45,apple,10
46,apple,9
47,apple,11
48,apple,9
49,apple,11
50,apple,17
51,apple,13
52,apple,9
53,apple,9
54,apple,9
55,apple,12
56,apple,9
57,apple,11
58,apple,12
59,apple,10
60,apple,10
61,apple,8
62,apple,13
63,apple,11
64,apple,7
65,apple,11
66,apple,14
67,apple,10
68,apple,9
69,apple,7
70,apple,10
71,apple,12
72,apple,9
73,apple,8
74,apple,9
75,apple,8
76,apple,8
77,apple,12
78,apple,12
79,apple,7
80,apple,9
81,apple,12
82,apple,8
83,apple,12
84,apple,8
85,apple,8
86,apple,8
87,apple,8
88,apple,9
89,apple,8
90,apple,9
91,apple,7
92,apple,10
93,apple,11
94,apple,9
95,apple,10
96,apple,11
97,apple,11
98,apple,8
99,apple,15
100,apple,10
101,apple,7
102,apple,12
103,apple,9
104,apple,14
105,apple,8
106,apple,12
107,apple,9
108,apple,15
109,apple,9
110,apple,10
111,apple,13
112,apple,10
113,apple,11
114,apple,10
115,apple,10
116,apple,7
117,apple,12
118,apple,8
119,apple,15
120,apple,11
121,apple,14
122,apple,8
123,apple,15
124,apple,8
125,apple,9
126,apple,14
127,apple,13
128,apple,9
129,apple,10
130,apple,10
131,apple,10
132,apple,8
133,apple,8
134,apple,12
135,apple,16
136,apple,8
137,apple,9
138,apple,13
139,apple,7
140,apple,11
141,apple,10
142,apple,14
143,apple,8
144,apple,9
145,apple,14
146,apple,8
147,apple,7
148,apple,8
149,apple,9
150,apple,15
151,apple,9
152,apple,7
153,apple,9
154,apple,8
155,apple,8
156,apple,11
157,apple,8
158,apple,8
159,apple,8
160,apple,10
161,apple,10
162,apple,17
163,apple,11
164,apple,8
165,apple,8
166,apple,12
167,apple,9
168,apple,9
169,apple,11
170,apple,11
171,apple,9
172,apple,10
173,apple,10
174,apple,11
175,apple,11
176,apple,13
177,apple,8
178,apple,9
179,apple,8
180,apple,9
181,apple,9
182,apple,8
183,apple,11
184,apple,11
185,apple,11
186,apple,9
187,apple,13
188,apple,8
189,apple,10
190,apple,13
191,apple,10
192,apple,13
193,apple,10
194,apple,9
195,apple,9
196,apple,8
197,apple,12
198,apple,13
199,apple,9
200,apple,13
201,apple,10
202,apple,11
203,apple,9
204,apple,12
205,apple,13
206,apple,8
207,apple,10
208,apple,8
209,apple,11
210,apple,12
211,apple,8
212,apple,12
213,apple,9
214,apple,15
215,apple,9
216,apple,12
217,apple,9
218,apple,12
219,apple,13
220,apple,16
221,apple,14
222,apple,12
223,apple,9
224,apple,10
225,apple,14
226,apple,9
227,apple,8
228,apple,11
229,apple,13
230,apple,9
231,apple,8
232,apple,8
233,apple,10
234,apple,10
235,apple,19
236,apple,9
237,apple,10
238,apple,8
239,apple,12
240,apple,9
241,apple,10
242,apple,13
243,apple,8
244,apple,10
245,apple,9
246,apple,8
247,apple,13
248,apple,10
249,apple,8
250,apple,10
251,apple,11
252,apple,14
253,apple,9
254,apple,12
255,apple,9
256,apple,8
257,apple,10
258,apple,11
259,apple,9
260,apple,15
261,apple,10
262,apple,9
263,apple,8
264,apple,8
265,apple,11
266,apple,9
267,apple,11
268,apple,7
269,apple,9
270,apple,12
271,apple,13
272,apple,8
273,apple,10
274,apple,9
275,apple,8
276,apple,10
277,apple,13
278,apple,9
279,apple,8
280,apple,11
281,apple,10
282,apple,8
283,apple,11
284,apple,11
285,apple,8
286,apple,10
287,apple,8
288,apple,8
289,apple,11
290,apple,8
291,apple,10
292,apple,14
293,apple,9
294,apple,7
295,apple,12
296,apple,10
297,apple,7
298,apple,11
299,apple,11
300,apple,14
301,apple,10
302,apple,10
303,apple,7
304,apple,15
305,apple,11
306,apple,10
307,apple,10
308,apple,8
309,apple,9
310,apple,8
311,apple,9
312,apple,14
313,apple,10
314,apple,9
315,apple,7
316,apple,8
317,apple,7
318,apple,18
319,apple,11
320,apple,14
321,apple,12
322,apple,7
323,apple,11
324,apple,11
325,apple,11
326,apple,11
327,apple,10
328,apple,10
329,apple,11
330,apple,10
331,apple,15
332,apple,13
333,apple,8
334,apple,9
335,apple,18
336,apple,13
337,apple,12
338,apple,10
339,apple,11
340,apple,8
341,apple,9
342,apple,9
343,apple,9
344,apple,11
345,apple,9
346,apple,10
347,apple,8
348,apple,10
349,apple,11
350,apple,7
351,apple,9
352,apple,12
353,apple,8
354,apple,15
355,apple,8
356,apple,10
357,apple,9
358,apple,12
359,apple,13
360,apple,9
361,apple,7
362,apple,7
363,apple,10
364,apple,9
365,apple,14
366,apple,14
367,apple,9
368,apple,9
369,apple,13
370,apple,9
371,apple,11
372,apple,10
373,apple,8
374,apple,10
375,apple,14
376,apple,9
377,apple,9
378,apple,14
379,apple,13
380,apple,9
381,apple,9
382,apple,9
383,apple,13
384,apple,8
385,apple,11
386,apple,7
387,apple,7
388,apple,8
389,apple,9
390,apple,9
391,apple,16
392,apple,9
393,apple,8
394,apple,8
395,apple,9
396,apple,9
397,apple,12
398,apple,8
399,apple,11
400,apple,8
401,apple,11
402,apple,14
403,apple,12
404,apple,9
405,apple,8
406,apple,8
407,apple,11
408,apple,9
409,apple,10
410,apple,12
411,apple,9
412,apple,11
413,apple,13
414,apple,7
415,apple,15
416,apple,11
417,apple,12
418,apple,11
419,apple,14
420,apple,8
421,apple,8
422,apple,18
423,apple,8
424,apple,9
425,apple,10
426,apple,14
427,apple,9
428,apple,13
429,apple,8
430,apple,12
431,apple,10
432,apple,7
433,apple,8
434,apple,12
435,apple,12
436,apple,8
437,apple,9
438,apple,8
439,apple,11
440,apple,10
441,apple,9
442,apple,8
443,apple,9
444,apple,11
445,apple,10
446,apple,12
447,apple,14
448,apple,7
449,apple,10
450,apple,14
451,apple,8
452,apple,10
453,apple,9
454,apple,9
455,apple,8
456,apple,11
457,apple,15
458,apple,15
459,apple,7
460,apple,14
461,apple,8
462,apple,8
463,apple,12
464,apple,10
465,apple,10
466,apple,13
467,apple,9
468,apple,9
469,apple,12
470,apple,9
471,apple,8
472,apple,9
473,apple,11
474,apple,10
475,apple,10
476,apple,8
477,apple,9
478,apple,11
479,apple,10
480,apple,8
481,apple,10
482,apple,10
483,apple,7
484,apple,16
485,apple,13
486,apple,9
487,apple,9
488,apple,10
489,apple,9
490,apple,8
491,apple,14
492,apple,11
493,apple,11
494,apple,13
495,apple,12
496,apple,12
497,apple,12
498,apple,11
499,apple,7
500,apple,9
501,apple,10
502,apple,7
503,apple,13
504,apple,17
505,apple,11
506,apple,9
507,apple,12
508,apple,11
509,apple,10
510,apple,13
511,apple,10
512,apple,10
513,apple,11
514,apple,12
515,apple,12
516,apple,8
517,apple,10
518,apple,11
519,apple,14
520,apple,9
521,apple,9
522,apple,10
523,apple,9
524,apple,10
525,apple,10
526,apple,11
527,apple,13
528,apple,10
529,apple,11
530,apple,11
531,apple,10
532,apple,9
533,apple,14
534,apple,8
535,apple,13
536,apple,10
537,apple,10
538,apple,18
539,apple,7
540,apple,8
541,apple,8
542,apple,7
543,apple,10
544,apple,10
545,apple,7
546,apple,11
547,apple,10
548,apple,9
549,apple,9
550,apple,11
551,apple,11
552,apple,11
553,apple,8
554,apple,8
555,apple,11
556,apple,15
557,apple,10
558,apple,11
559,apple,13
560,apple,10
561,apple,8
562,apple,9
563,apple,12
564,apple,10
565,apple,8
566,apple,11
567,apple,10
568,apple,13
569,apple,10
570,apple,8
571,apple,20
572,apple,10
573,apple,9
574,apple,8
575,apple,8
576,apple,12
577,apple,14
578,apple,10
579,apple,12
580,apple,12
581,apple,9
582,apple,10
583,apple,7
584,apple,14
585,apple,11
586,apple,15
587,apple,14
588,apple,17
589,apple,8
590,apple,14
591,apple,14
592,apple,11
593,apple,10
594,apple,9
595,apple,8
596,apple,7
597,apple,14
598,apple,12
599,apple,11
600,apple,12
601,apple,9
602,apple,11
603,apple,9
604,apple,13
605,apple,8
606,apple,15
607,apple,11
608,apple,9
609,apple,11
610,apple,9
611,apple,10
612,apple,11
613,apple,11
614,apple,7
615,apple,12
616,apple,9
617,apple,9
618,apple,8
619,apple,9
620,apple,8
621,apple,10
622,apple,10
623,apple,10
624,apple,9
625,apple,10
626,apple,9
627,apple,9
628,apple,10
629,apple,12
630,apple,9
631,apple,9
632,apple,10
633,apple,11
634,apple,10
635,apple,11
636,apple,11
637,apple,8
638,apple,9
639,apple,9
640,apple,9
641,apple,7
642,apple,10
643,apple,15
644,apple,12
645,apple,10
646,apple,9
647,apple,18
648,apple,8
649,apple,11
650,apple,11
651,apple,7
652,apple,11
653,apple,8
654,apple,11
655,apple,12
656,apple,8
657,apple,8
658,apple,11
659,apple,11
660,apple,11
661,apple,9
662,apple,9
663,apple,7
664,apple,13
665,apple,8
666,apple,7
667,apple,10
668,apple,11
669,apple,8
670,apple,10
671,apple,13
672,apple,11
673,apple,12
674,apple,9
675,apple,13
676,apple,12
677,apple,9
678,apple,10
679,apple,16
680,apple,10
681,apple,11
682,apple,15
683,apple,11
684,apple,9
685,apple,9
686,apple,9
687,apple,9
688,apple,8
689,apple,9
690,apple,7
691,apple,8
692,apple,12
693,apple,14
694,apple,8
695,apple,11
696,apple,13
697,apple,15
698,apple,8
699,apple,8
700,apple,9
701,apple,9
702,apple,13
703,apple,9
704,apple,8
705,apple,8
706,apple,14
707,apple,13
708,apple,10
709,apple,9
710,apple,14
711,apple,13
712,apple,18
713,apple,10
714,apple,15
715,apple,9
716,apple,7
717,apple,11
718,apple,10
719,apple,11
720,apple,9
721,apple,14
722,apple,11
723,apple,10
724,apple,11
725,apple,10
726,apple,11
727,apple,7
728,apple,10
729,apple,14
730,apple,15
731,apple,9
732,apple,7
733,apple,8
734,apple,8
735,apple,12
736,apple,9
737,apple,10
738,apple,11
739,apple,13
740,apple,12
741,apple,11
742,apple,9
743,apple,12
744,apple,9
745,apple,10
746,apple,9
747,apple,11
748,apple,9
749,apple,11
750,apple,10
751,apple,8
752,apple,8
753,apple,13
754,apple,14
755,apple,12
756,apple,8
757,apple,11
758,apple,10
759,apple,8
760,apple,8
761,apple,9
762,apple,11
763,apple,14
764,apple,9
765,apple,10
766,apple,9
767,apple,8
768,apple,7
769,apple,8
770,apple,13
771,apple,7
772,apple,11
773,apple,8
774,apple,10
775,apple,8
776,apple,12
777,apple,8
778,apple,14
779,apple,10
780,apple,8
781,apple,10
782,apple,16
783,apple,9
784,apple,9
785,apple,9
786,apple,12
787,apple,10
788,apple,10
789,apple,8
790,apple,12
791,apple,8
792,apple,10
793,apple,8
794,apple,10
795,apple,11
796,apple,13
797,apple,11
798,apple,11
799,apple,11
800,apple,10
801,apple,9
802,apple,14
803,apple,8
804,apple,11
805,apple,11
806,apple,7
807,apple,8
808,apple,12
809,apple,11
810,apple,13
811,apple,9
812,apple,9
813,apple,11
814,apple,10
815,apple,9
816,apple,12
817,apple,9
818,apple,10
819,apple,10
820,apple,7
821,apple,12
822,apple,12
823,apple,13
824,apple,10
825,apple,8
826,apple,14
827,apple,10
828,apple,9
829,apple,9
830,apple,8
831,apple,7
832,apple,14
833,apple,9
834,apple,13
835,apple,9
836,apple,13
837,apple,8
838,apple,8
839,apple,12
840,apple,12
841,apple,7
842,apple,10
843,apple,13
844,apple,12
845,apple,12
846,apple,8
847,apple,9
848,apple,10
849,apple,8
850,apple,9
851,apple,8
852,apple,9
853,apple,10
854,apple,8
855,apple,7
856,apple,13
857,apple,8
858,apple,13
859,apple,16
860,apple,9
861,apple,21
862,apple,12
863,apple,8
864,apple,11
865,apple,11
866,apple,10
867,apple,12
868,apple,9
869,apple,9
870,apple,12
871,apple,12
872,apple,12
873,apple,9
874,apple,9
875,apple,10
876,apple,11
877,apple,7
878,apple,10
879,apple,9
880,apple,13
881,apple,12
882,apple,8
883,apple,8
884,apple,7
885,apple,8
886,apple,10
887,apple,11
888,apple,14
889,apple,7
890,apple,10
891,apple,13
892,apple,13
893,apple,13
894,apple,12
895,apple,10
896,apple,11
897,apple,12
898,apple,11
899,apple,16
900,apple,10
901,apple,8
902,apple,10
903,apple,11
904,apple,9
905,apple,8
906,apple,15
907,apple,13
908,apple,10
909,apple,11
910,apple,10
911,apple,10
912,apple,8
913,apple,12
914,apple,9
915,apple,9
916,apple,9
917,apple,11
918,apple,9
919,apple,10
920,apple,12
921,apple,10
922,apple,11
923,apple,9
924,apple,8
925,apple,11
926,apple,10
927,apple,12
928,apple,8
929,apple,10
930,apple,8
931,apple,10
932,apple,10
933,apple,13
934,apple,10
935,apple,9
936,apple,10
937,apple,10
938,apple,12
939,apple,14
940,apple,9
941,apple,13
942,apple,8
943,apple,10
944,apple,11
945,apple,10
946,apple,12
947,apple,9
948,apple,8
949,apple,8
950,apple,11
951,apple,9
952,apple,8
953,apple,12
954,apple,14
955,apple,10
956,apple,12
957,apple,10
958,apple,10
959,apple,12
960,apple,10
961,apple,11
962,apple,8
963,apple,12
964,apple,8
965,apple,12
966,apple,16
967,apple,9
968,apple,10
969,apple,9
970,apple,8
971,apple,10
972,apple,10
973,apple,11
974,apple,10
975,apple,8
976,apple,10
977,apple,8
978,apple,9
979,apple,10
980,apple,8
981,apple,9
982,apple,12
983,apple,9
984,apple,15
985,apple,7
986,apple,10
987,apple,11
988,apple,10
989,apple,8
990,apple,12
991,apple,11
992,apple,9
993,apple,11
994,apple,9
995,apple,9
996,apple,14
997,apple,8
998,apple,8
999,apple,13
1000,apple,7
1001,apple,8
1002,apple,11
1003,apple,8
1004,apple,11
1005,apple,13
1006,apple,9
1007,apple,8
1008,apple,10
1009,apple,10
1010,apple,10
1011,apple,11
1012,apple,12
1013,apple,16
1014,apple,11
1015,apple,10
1016,apple,7
1017,apple,12
1018,apple,8
1019,apple,8
1020,apple,12
1021,apple,8
1022,apple,9
1023,apple,15
1024,apple,11
1025,apple,8
1026,apple,17
1027,apple,15
1028,apple,9
1029,apple,8
1030,apple,9
1031,apple,9
1032,apple,11
1033,apple,11
1034,apple,10
1035,apple,13
1036,apple,9
1037,apple,12
1038,apple,11
1039,apple,9
1040,apple,9
1041,apple,8
1042,apple,13
1043,apple,13
1044,apple,10
1045,apple,9
1046,apple,11
1047,apple,8
1048,apple,11
1049,apple,8
1050,apple,12
1051,apple,9
1052,apple,10
1053,apple,12
1054,apple,12
1055,apple,9
1056,apple,10
1057,apple,9
1058,apple,8
1059,apple,17
1060,apple,8
1061,apple,11
1062,apple,11
1063,apple,12
1064,apple,14
1065,apple,8
1066,apple,11
1067,apple,10
1068,apple,11
1069,apple,7
1070,apple,10
1071,apple,10
1072,apple,7
1073,apple,11
1074,apple,7
1075,apple,9
1076,apple,13
1077,apple,7
1078,apple,8
1079,apple,11
1080,apple,14
1081,apple,11
1082,apple,12
1083,apple,9
1084,apple,10
1085,apple,9
1086,apple,14
1087,apple,7
1088,apple,12
1089,apple,9
1090,apple,15
1091,apple,8
1092,apple,10
1093,apple,12
1094,apple,10
1095,apple,9
1096,apple,11
1097,apple,10
1098,apple,10
1099,apple,12
1100,apple,12
1101,apple,14
1102,apple,11
1103,apple,8
1104,apple,9
1105,apple,8
1106,apple,9
1107,apple,7
1108,apple,9
1109,apple,10
1110,apple,15
1111,apple,11
1112,apple,10
1113,apple,12
1114,apple,10
1115,apple,13
1116,apple,8
1117,apple,10
1118,apple,12
1119,apple,7
1120,apple,10
1121,apple,11
1122,apple,10
1123,apple,9
1124,apple,9
1125,apple,7
1126,apple,18
1127,apple,14
1128,apple,13
1129,apple,9
1130,apple,8
1131,apple,10
1132,apple,17
1133,apple,8
1134,apple,8
1135,apple,9
1136,apple,10
1137,apple,9
1138,apple,9
1139,apple,11
1140,apple,12
1141,apple,14
1142,apple,9
1143,apple,9
1144,apple,9
1145,apple,10
1146,apple,14
1147,apple,13
1148,apple,14
1149,apple,7
1150,apple,12
1151,apple,9
1152,apple,10
1153,apple,8
1154,apple,8
1155,apple,7
1156,apple,10
1157,apple,12
1158,apple,10
1159,apple,8
1160,apple,13
1161,apple,9
1162,apple,10
1163,apple,12
1164,apple,9
1165,apple,12
1166,apple,10
1167,apple,13
1168,apple,12
1169,apple,11
1170,apple,9
1171,apple,12
1172,apple,12
1173,apple,11
1174,apple,12
1175,apple,9
1176,apple,10
1177,apple,12
1178,apple,9
1179,apple,10
1180,apple,8
1181,apple,20
1182,apple,8
1183,apple,9
1184,apple,9
1185,apple,11
1186,apple,8
1187,apple,11
1188,apple,10
1189,apple,9
1190,apple,10
